entity_id,custom_term,category,place,date_or_period,doc_id,page_number,context_snippet,confidence
custom_5c05b35aa3141f,风俗,general_custom,盛泽镇,乾隆年,swhgz_8ac060901a96,42,"青草滩杂诗》中有""天家不设机丝税""的记载。至 乾隆年间，盛泽镇乡的佣织者约数千计，丝绸业达到相当规模(详 见""风俗""篇)。 咸丰年间，黄家溪、新杭毁于兵贺，王江泾十九瓦砾，而苏、杭、 湖、棋院、双林等丝织城镇受创严重，富裕机",high
custom_1f76938e80867a,习俗,general_custom,盛泽镇,1985,swhgz_8ac060901a96,86,"娥、杨炳奎、徐 云志、严雪亭、张鉴庭、范雪君、朱雪琴、徐丽仙、金声伯等均至盛泽 登台献艺。旧历年底还有说回书的习俗。沦陷后渐有衰落之势. 建国后书场合并，仅存一家。""文化大革命""中，评弹一度禁演。1985 年，盛泽最后一家书",high
custom_a5a8c85919fec7,庙会,temple_fair,盛泽镇,,swhgz_8ac060901a96,91,"李祥观、张桂芳等 人组织发起，活动地点在西白漾堤上的""梅肪""旱船内。在盛泽镇， 会馆、庙宇多设戏台，每逢节日、庙会，竞相延请京剧班子演出。""舜 湖逸社""京剧票房成立后，得到各界人士的支持，尤以近郊农民为 甚。著名演员王奎芳、",high
custom_0fe009ac76ae08,岁时,seasonal_custom,盛泽镇,,swhgz_8ac060901a96,104,"""他镇所无气民元后风俗一变，建国后再变。国庆节、劳动 节成为盛大的节日。而80 年代，旧俗有复苏之势。 第一节岁时节令 春节 春节俗称过年，最为民间重视。农历十二月二十四为小 除夕，各家掉檐尘，用糖圆粉团祭祀灶神，以篝灯为肩",high
custom_1f7eb71ac76890,节令,seasonal_custom,盛泽镇,,swhgz_8ac060901a96,104,镇所无气民元后风俗一变，建国后再变。国庆节、劳动 节成为盛大的节日。而80 年代，旧俗有复苏之势。 第一节岁时节令 春节 春节俗称过年，最为民间重视。农历十二月二十四为小 除夕，各家掉檐尘，用糖圆粉团祭祀灶神，以篝灯为肩舆(,high
custom_67eae68be897bb,祭祀,ritual,盛泽镇,,swhgz_8ac060901a96,104,"苏之势。 第一节岁时节令 春节 春节俗称过年，最为民间重视。农历十二月二十四为小 除夕，各家掉檐尘，用糖圆粉团祭祀灶神，以篝灯为肩舆(俗名善 富)，在天井烧神马，称""送灶""。岁末，亲友互赠礼品，称""年节礼""。 磨粉和怅健为糕",high
custom_df5baef7cbf706,祭祀,ritual,盛泽镇,,swhgz_8ac060901a96,104,"富)，在天井烧神马，称""送灶""。岁末，亲友互赠礼品，称""年节礼""。 磨粉和怅健为糕，称""年糕""。用猪头、鸡、鱼祭祀神灵，称""拜利市""。 除夕悬祖先遗像，是夜合家聚宴，称""吃年夜饭""。菜肴喜用其谐音 及形状有吉兆特征者，如豆芽",high
custom_6f242c44c5800f,祭祀,ritual,盛泽镇,明清,swhgz_8ac060901a96,105,"""。明清时，少年在正月半 前喜以鸣缸击鼓为娱，称""年锣鼓\元宵之夕食细圆子，称""灯圆""。 以春饼待客。乡村妇女祭祀厕神紫姑及冀姑，以卡家宅田蚕。儿 童聚放纸莺。有""出灯会""之俗。民国4 年(1915)元宵节，因出灯 会导致火",high
custom_ef687aaffe2a20,岁时,seasonal_custom,盛泽镇,,swhgz_8ac060901a96,107,"后，男三十庆寿，称""斋佛""。俗云""三十不斋，四十 不发""。庆寿俗称""做寿""，燃点红烛，合家食用长寿面。男36 岁时， 岳母以蚊帐赠婿。尔后逢十庆寿。对四十、六十、八十岁等双十寿 辰尤为注重。小辈献赠寿面、寿香和寿烛，向寿者行",high
custom_d1cb4f2b01bd9a,岁时,seasonal_custom,盛泽镇,,swhgz_8ac060901a96,111,370)与释万金被召 入京，在天下僧敦，时己'60 余岁。 宏道，字堂隐，俗姓沈，澄源里(盛泽南部)人。 19岁时菇染，从 雷锋鲁山文游，对教典无所不通。又至上天空拜渴高僧我庵，我庵 圆寂后，与大瑛电、大彻显重修教苑清规。明,high
custom_9ab2262896af51,岁时,seasonal_custom,盛泽镇,嘉靖十五年,swhgz_8ac060901a96,119,l、舜茸 F 梦熊，字仲登，别号景J I! ，明嘉靖十五年(1536)三月十一日 生于盛泽。梦熊幼即超敏，十岁时于书无不读。善辞赋，倚马千言。 他携策赴石城，叔祖虹泉公、族叔立斋公让他参加制举社。经制科 考试，许多人都先后,high
custom_7d6b5f01d41148,祭祀,ritual,盛泽镇,,swhgz_8ac060901a96,126,。兄弟5 人，姐妹2 人，辟 排行第二，从小生活贫苦。母亲在油灯下织绸，常常熬夜到鸡鸣 的情景，每年小满先蚕殿祭祀摞娘娘的乡俗，使他受到熏陶，培养 起对蚕桑的深厚感情。 479,high
custom_32e630b35cc670,民俗,folk_custom,盛泽镇,,swhgz_8ac060901a96,166,已。蚊龙水居、间 作，而村地曲僻，远城邑官道，兵突不加，淫靡不入，争讼未起，宋元 以来凤言安堵。我朝九有甸奄，民俗淳庞，市弗武肆，狱元典犯，另 耕女织，用享二筐，屠日不能毕一豚，标枝野鹿熙如矣。 成化初，具区陈先生幸起文运，,high
custom_945609728dfba3,民俗,folk_custom,盛泽镇,,swhgz_8ac060901a96,166,竹堂、 凌巷、渔湾、野渡、划船、晓钟、夕照、晴市八景分著，世异风味，废举 靡一。余不敢弦辙，存为羊民. 若夫!民俗淳庞，寝浸变矣。屠沽盈市，博讼日关9 下人衣绒 椅，游子挟娼饮。云水优徘，重为民蠢。兼以赋税之繁盈，官盐门 摊,high
custom_cac131a6b7263f,婚丧,life_cycle,盛泽镇,,swhgz_8ac060901a96,167,圣相承， 湛恩汪2岁，幅帧之式廓，民物之繁昌，靡不超越前代，属当焕乎?有 文之会薄海内外，寒暑衣被之所需与夫冠婚丧祭髓献文章之所用， 悉萃而取给于区区之一镇。入市交易，日逾万金，人情趋利如莺， 摩肩侧颈奔走恐后，一岁中率以为,high
custom_f491320519403f,节令,seasonal_custom,,,swhgz_f4a9a18a5f20,331,味药 填补必佐行气之品，治湿用芳香宣化，破瘀血而兼理气。常说：“有呆方，无 呆病”症情不尽相同，体质亦各有别，节令周期转移各有差异。因此他使用经 方古方是师其意而不拘其方，加减化裁，灵活变通。临床用药不徇俗好，注重 配伍，诸,high
custom_4d3384cd928be3,风土,local_conditions,,,swhgz_7bb6b2710a31,6,"馆阁宏裁 , 备一朝之大政 志则文献之枯苑⑤ , 简阎之痛阜 , 钱谷之登歉 , 河 渠之迁革 , 累祀⑥之民风土俗 , 自为一古今 。少因而志书应该做到 “ 考献征文 , 循名核 实 , 以昭信史 ” , “ 纪民间疾苦",high
custom_9b685a2058e986,风俗,general_custom,,,swhgz_7bb6b2710a31,7,", 志稿中保 存了不少宋志资料 , 这是它的可贵之处 。韩国钧在跋语中称赞宫伟毛翌 “ 于乡土 、形胜 、 风俗 、水利 、钱粮 、秩官 、人物极为注念 , 举平日胸意之所欲发者 , 悉取而论次之 , 而 一本于忠厚之意",high
custom_a408a7b953dcfb,风俗,general_custom,,民国九年,swhgz_7bb6b2710a31,10,"中就有 “ 自民国九年院始成立 ” 字样 , 其它篇目也有类似情况 , 不复枚 举 。志稿体例篇目除增列 “风俗 ” 一篇外 , 其余与光绪志相同 。卷前所列舆图二十三 幅 , 亦系光绪志所刻印之舆图 。 总纂韩国钧 ,",high
custom_12361146b5dd36,风俗,general_custom,,民国,swhgz_7bb6b2710a31,10,"进入民国后风气渐开 , 又能接受新 学 , 更有光绪志的基础 , 因而这部志稿具有一定的质量 。如新增的 “ 风俗 ” 篇 , 即载有 冠婚丧祭今昔不同之点 、士农工商之习尚与社会状况 、各区各业斗解秤尺法码不同之比 较等内",high
custom_7c0a9ad2be58ac,婚丧,life_cycle,,光绪,swhgz_7bb6b2710a31,10,"接受新 学 , 更有光绪志的基础 , 因而这部志稿具有一定的质量 。如新增的 “ 风俗 ” 篇 , 即载有 冠婚丧祭今昔不同之点 、士农工商之习尚与社会状况 、各区各业斗解秤尺法码不同之比 较等内容 。但志稿中疏漏亦复难免",high
custom_8802633ec04689,风土,local_conditions,,,swhgz_32ffc1ff5554,24,东南过青马河直抵青沟，马荡。该土种红棕色，质地粘重， 石灰反应强烈，有机质含量较低，土壤结构较差，群众称之为漏风土，生产性能 较差，此土多发育成为渗育型水稻土。近代黄泛冲积的沙土、夹沙土养分含量不 高，均呈强石灰反应。沙土结,high
custom_fb3cd03fc884bf,风俗,general_custom,安徽,,swhgz_842a00b22f4b,6,6 《安徽历代方志丛书》前言 安徽襟江带淮，无论自然条件，还是人文风俗，皆有南北兼容的 特点。历史上泼墨操戈，代有风流；百业竞技，各显其能；地域文化， 源远流长，方志是其重要的文献,high
custom_e1e9aaa7e0b28e,风俗,general_custom,来安县,,swhgz_842a00b22f4b,14,公署仓库、院局附 城池街道、坊表、乡都、市集 附 坛庙寺观、古迹、丘墓、义冢附 津梁 卷三 食货志上 户口风俗附 田赋徭役附 卷四 食货志下 物产 仓储 蠲赈祥异附 义田各款规条附 卷五 水利志 塘沛 圩坝《圩田图说,high
custom_36c79c7c2ee266,风俗,general_custom,安徽;益阳,雍正,swhgz_842a00b22f4b,20,，陶云汀、张兰渚、邓嶰筠三中丞 相继纂修《安徽通志》，并檄所部各修郡县志送局备采，将以征一邦 之文献，觇全省之风俗 ①，甚盛举也。来志自雍正乙卯重修后 ②，阙未 纪者近百年矣。道光癸未，邑侯益阳符公奉檄重修，与其弟禹门明经,high
custom_86d26b1aa9c0d2,风俗,general_custom,滁州,,swhgz_842a00b22f4b,20,厘订，成若干卷，寄声来索序。夫桑梓敬 恭，古义也，沅不敢序，然亦不敢辞。窃惟邑志舆地、营建、食货、 学校诸门，风俗之所本也；人物、选举、节孝、艺文诸门，风俗之所 征也 ⑥。昔宋欧阳公刺滁，极道滁州风俗之美。是时，滁为清流、全,high
custom_a060fd053943a0,风俗,general_custom,来安;滁州,,swhgz_842a00b22f4b,20,古义也，沅不敢序，然亦不敢辞。窃惟邑志舆地、营建、食货、 学校诸门，风俗之所本也；人物、选举、节孝、艺文诸门，风俗之所 征也 ⑥。昔宋欧阳公刺滁，极道滁州风俗之美。是时，滁为清流、全 椒、来安郡名，来即滁也，滁之风俗即来之风,high
custom_4f8bd39a5467c3,祭祀,ritual,来安县,,swhgz_842a00b22f4b,78,废。厅厢基地俱存， ①缭：围绕。 ②复墙：指中间空的双层墙。 ③修葺：修补整理。 ④教谕：县学教官。掌文庙祭祀、训诲所属生员。训导：学官名。以协助教授、 学正、教谕教诲所属生员为职。 ⑤阴阳学：县中管理天文、占候、星卜、,high
custom_b3d262faa28573,祭祀,ritual,来安县,,swhgz_842a00b22f4b,91,祭品。指盛在祭器内的黍稷。 ⑥丁田：指按人口交纳的土地税。正银：纯而不杂成色高的一种银子。 ⑦雩祭：古代祈雨的祭祀。 ⑧甃：饰，装饰。 ⑨棂星门：庙学前的门坊。本作灵星门，因其门形如窗棂，故改“灵”为“棂”。 ⑩名宦祠：古代,high
custom_005b248704400d,祭祀,ritual,来安县,,swhgz_842a00b22f4b,95,与土地像而三。 在县署仪门外东。以春秋 ①从祀：陪祭。 ②考满：指对官员的定期任职考核等事。 ③少牢：古代祭祀燕享单用羊、猪的称为少牢。 ④厉坛：厉，通“疠”，灾役。厉坛祭厉，以禳除厉害。 ⑤马神庙：古代祭祀马神的祠庙。,high
custom_65a5db45338da2,祭祀,ritual,来安县,,swhgz_842a00b22f4b,95,③少牢：古代祭祀燕享单用羊、猪的称为少牢。 ④厉坛：厉，通“疠”，灾役。厉坛祭厉，以禳除厉害。 ⑤马神庙：古代祭祀马神的祠庙。马神有马祖、马社、马步、先牧诸神，分不同时节祭之。 ⑥蜡祭：年终祭名。合祭百神。按《礼记》说：“天,high
custom_3cd85e9bab7ecb,民俗,folk_custom,来安县,,swhgz_842a00b22f4b,123,自鬻酤售饭外，无他列廛坐肆者 ④。是以俗颇质木 ⑤， 习尚俭，不作淫侈。盖瘠土之人其所渐靡固然也。为民父母，察民俗 所患，开山泽閟藏，教民勤作，树艺蚕织丝枲，时时行视邑中水泉， 如茨充之守桂阳、崔实之教五原，宜无难为者矣 ⑥,high
custom_e031a58af6db57,岁时,seasonal_custom,来安县,,swhgz_842a00b22f4b,128,其惑于风水，停厝经年者绝少 ③。士大夫 有宗祠者，春秋聚族人而祭之；无庙者，惟于中堂内寝设主供奉，生 辰忌日及岁时荐新，祭以常仪 ④。齐民亦知祭，但较径直，疏于礼。 节序 元旦，五鼓拜天地，设茶果焚楮帛，随祀祖先，拜尊长，,high
custom_c3837982cbd319,祭祀,ritual,来安县,,swhgz_842a00b22f4b,130,勺，内免征养马伍佰肆拾捌石。 农桑税官民桑肆万贰拾株，科丝壹千陆拾柒两零，折绢伍拾叁疋壹丈壹尺 陆寸肆分，内免祭祀户民桑贰百拾株，丝绢俱免征。 杂课酒课钞拾肆锭贰百文。商课钞壹百伍锭叁贯贰百叁拾叁文。房屋赁钞 贰拾锭壹贯肆百,high
custom_728b013077292b,风土,local_conditions,来安县,弘治,swhgz_842a00b22f4b,241,明制，卫所之外，郡县别有民壮。弘治初，州县大者 里佥五人⑤，次三四人，小者二人，有司训练，遇警调发。其乡兵则随风土所长 应募不隶军籍。嘉靖三十七年 ⑥，屯院张以锦衣卫千百户带领官军一千 八百名防御。见前《城池》。 国朝顺治年,high
custom_57ebd4e1171735,风土,local_conditions,苏州市;扬州;镇江;苏州,2004年,swhgz_4156be344675,28,务，车厢内配备乘务员，统一着装，专业培训，在规范服务的同时，穿插介绍扬州、镇江两市的经济、文化特色、旅游景观和风土人情。 2004年12月29日 根据《苏州市公共汽车客运管理条例》，为加快苏州中心城市公共交通发展，积极推进公,high
custom_7f36f2d8b2b27b,祭祀,ritual,枞阳县,民国,swhgz_321865661e46,102,知县1人，总揽全县政事；县丞1人，掌管文书和田赋事项；典史1人，掌管监刑等事；教谕、训导各1人，掌管教育和文庙祭祀。另设六百丈、北峡关、练潭、马踏石巡检司，掌管全县治安。中华民国成立后，先后改县署为县公署、县政府。1949年,high
custom_12ca6763b89287,风俗,general_custom,枞阳县;枞阳,1989年,swhgz_321865661e46,114,％。县志办公室完成编写项目有《枞阳县建置沿革》、《枞阳县大事记》、《枞阳县人物传》、《枞阳县名胜志》、《枞阳县风俗志》、《枞阳县土特产志》。1989年，全县大部分专业志都已成稿。县志办公室完成了《枞阳县志篇目讨论稿》，并对专,high
custom_443b43d4776bc3,婚丧,life_cycle,枞阳县,,swhgz_321865661e46,120,正课教读有《国文》、《龙文鞭影》、《幼学琼林》、《鉴略》、《论语》、《大学》、《中庸》等。应用文有契约、诉讼、婚丧喜庆等内容的教材。 教学方法 认读 儿童五六岁入蒙学，以认读为主。塾师在一寸见方的纸上写字，称字片；教认的字数,high
custom_4ae8866facd05b,岁时,seasonal_custom,枞阳县,,swhgz_321865661e46,126,齐之鸾 齐之鸾，字瑞卿，号蓉川，今雨坛乡人。明正德六年 进士，先入翰林院为庶吉士，后授刑部给事中。 之鸾9岁时读私塾。一日，同乡前辈袁宏太仆来访，恰值塾师外出，塾中学童见袁都惊恐逃散，只有之鸾端坐不动，伏案读书。袁太仆笑,high
custom_d943f4292ff9c4,祭祀,ritual,枞阳县,,swhgz_321865661e46,126,间，皇室宗庙发生火灾，军士在清扫火场时，有人于灰烬中获得金珠，没有上交，被告发，逮捕下狱。朝廷要按盗窃皇家宗庙祭祀宝器定罪。如京判曰：“金非器，器非珠也”，一律从轻发落，众军士得以减免死刑。 如京晚年多病，六次上疏，朝廷才准,high
custom_bf6426de792193,民俗,folk_custom,枞阳县,,swhgz_321865661e46,128,办理丧事，人称他为“债宦”。丧事毕，补四川巫岭。在任期间，他免除茶税，建置驿站，人民称便。岁荒，捐俸买粟赈饥。民俗信奉女巫，泽烧其神像，鞭挞巫者，改变弊俗。后升任浙江衢州通判，调四川广安知州，道经巫山，巫山民众争奉酒迎接，车,high
custom_00bff126ca5c52,岁时,seasonal_custom,枞阳县,,swhgz_321865661e46,128,修邑志，编定山川图志；划都、鄙、里、社各级政区，并定约法；每社举有德望的耆老为社长和副社长，选才能高者为社师；岁时巡视，勤者有奖，惰者警告。同时于社中处理该社公诉，百姓可以旁听，广开言路，无一蒙冤之人。富民王氏误杀人，人谓思,high
custom_cd383751a89c4c,岁时,seasonal_custom,枞阳县,,swhgz_321865661e46,134,、筹、珠三法”，穷差别于《九章》。25岁到京城，与钦天监汤若望谈论历法，若望惊佩奇才。前后10年辛苦钻研，27岁时著成《数度衍》24卷，附录1卷。书成，中通曾赋诗感怀：“奉余易象本家传，笔冢堆成砚亦穿。自笑十年忘寝食，宁夸两,high
custom_e3b4944a88deba,岁时,seasonal_custom,枞阳县,,swhgz_321865661e46,134,与族弟方薪传作客在外，族弟染上病疫，人人都躲避而去，但式济却始终照料族弟，同室起居，一直等待族弟病愈。式济42岁时，病死于卜魁城。著有《龙沙纪略》2卷、《易说》 6卷、《陆唐诗稿》2卷。 方苞 方苞 ，字凤九，一字灵皋，晚,high
custom_e4a608350e542c,岁时,seasonal_custom,枞阳县,乾隆,swhgz_321865661e46,135,、《宜田汇稿》、《问亭集》、《述本堂集》等。 方维甸 方维甸 ，字南藕，号葆岩，观承子，今义津镇人。维甸19岁时，乾隆帝追念其父方观承功劳，恩赐内阁中书，值军机处。乾隆四十六年 ，维甸中进士，以吏部主事的身份，随大学士福,high
custom_5c930528712da7,风土,local_conditions,枞阳县,,swhgz_321865661e46,138,》2卷、《校定尚书》1卷、《尚书故》3卷、《夏小正私笺》l卷、《文集》4卷、《诗集》l卷、《尺牍》7卷、《深州风土记》22卷、《东游丛录》4卷。为勉励后人，他亲笔题写“勉成国器”和“后十百年人才奋兴，胚胎于此；合东西国学问精,high
custom_1321d2b5498550,风土,local_conditions,枞阳县,,swhgz_321865661e46,177,常急人之难。清顺治十四年 ，因江南乡试科场案，流放到今黑龙江省宁安县宁古塔，二年后释归。为记述黑龙江省的一些风土人情，他撰著了《绝城纪略》一书，署名苏庵老人。另著有《宁古塔志》、《方詹事集》、《坦庵集》等。 吴国珙 字大玉,high
custom_bc2b0d020bffbf,习俗,general_custom,江宁;江苏;松江;太仓,道光,swhgz_321865661e46,182,李庄人。清道光初，为中城兵马司指挥。改任江苏沐阳知县，筑六塘河堤堰，开挖支流，兴修水利；又教人民广种木棉，成为习俗。调江宁知县后，提升太仓知州。后任松江知府，复调太仓，赏戴花翎，以道员任用。授陕西凤翔、江西临江知府，因病辞官,high
custom_ee1212eb32e2b0,庙会,temple_fair,静安,光绪七年,swhgz_3e8acdade16f,3,列强越界筑路之外，还有两条重要脉络，是租界时期得以大发展的不可忽视的两大基础条件。其一，仰仗千年古刹静安寺及其庙会的影响。静安寺历史悠久，虽屡遭战乱和灾害，始终不衰。静安寺庙会形成规模于清光绪七年（1881年），终于1963,high
custom_ab2a916563ee37,庙会,temple_fair,静安,光绪七年,swhgz_3e8acdade16f,3,忽视的两大基础条件。其一，仰仗千年古刹静安寺及其庙会的影响。静安寺历史悠久，虽屡遭战乱和灾害，始终不衰。静安寺庙会形成规模于清光绪七年（1881年），终于1963年，历时83年。每年农历四月初八浴佛节，商贾云集，游人如织。1,high
custom_87ac98a0fd50b5,庙会,temple_fair,静安区,1881年,swhgz_3e8acdade16f,3,绪七年（1881年），终于1963年，历时83年。每年农历四月初八浴佛节，商贾云集，游人如织。1961年的4天庙会，逛庙市的人数达400万人次。其范围之广，影响之深，作用之大，远远超出寺庙本身。其二 凭借吴淞江、曹家渡水陆,high
custom_8dd2d74e6a7235,庙会,temple_fair,静安;南京,光绪七年,swhgz_3e8acdade16f,5,安寺路（今南京西路）。其后百余年间，因地利之便，以静安寺为中心构成的交通网络成为沪西城市化进程的起点。 静安寺庙会起源于一年一度的浴佛节。清光绪七年（1881年）重开，终于1963年。每年农历四月初八浴佛节，商贾云集，游人如,high
custom_c159d3c3c0527d,庙会,temple_fair,静安区;静安,光绪七年,swhgz_3e8acdade16f,5,的浴佛节。清光绪七年（1881年）重开，终于1963年。每年农历四月初八浴佛节，商贾云集，游人如织。数十年来，庙会逐渐形成规模宏大的庙市，堪称静安区商业的渊源。随着城市建设的发展，寺院相继出租土地营造商业用房和里弄住宅，变幽,high
custom_8b1e50ca9abc6b,习俗,general_custom,静安,,swhgz_3e8acdade16f,9,尼佛诞辰，众多城乡男女老少前来礼佛、游览，寺庙周围设摊列肆，交流物资，形成了巨大的贸易市场。 庙会从节庆而渐成习俗，定时定点，一年一度在静安寺周围举行。参加者愈来愈多，交流的农副产品数量多、品种全。原定四月初八一天的庙会已无,high
custom_d689e44fb86450,风俗,general_custom,,,swhgz_4ce3b5c5c31c,1,序》中说：“古今著作一纵一横而已。纵则历代史志，稗官野史，与夫谱牒、志铭、金石文字之类是也。横则山经、地志、《风俗通》、《岁时记》，与夫绝域、海外诸国文纪之类是也。志书，横中之一体耳。”不但立论正确，而且把一个深刻的道理说得,high
custom_6ff48204472ffe,岁时,seasonal_custom,,,swhgz_4ce3b5c5c31c,1,古今著作一纵一横而已。纵则历代史志，稗官野史，与夫谱牒、志铭、金石文字之类是也。横则山经、地志、《风俗通》、《岁时记》，与夫绝域、海外诸国文纪之类是也。志书，横中之一体耳。”不但立论正确，而且把一个深刻的道理说得形象生动、简,high
custom_ee86a5ac90a0fe,风土,local_conditions,吴县,,swhgz_4ce3b5c5c31c,1,苏早期志书，汉代就有《沛国耆旧传》、《广陵郡图经》，三国有《吴先贤传》，《吴国先贤赞》、《三吴郡国志》、《阳羡风土记》、《吴县记》，晋代有《三吴地理志》、《三吴土地记》、《吴地记》、《吴郡记》等。张国淦《中国古方志考》共收南,high
custom_28fa72d9daab14,风土,local_conditions,江苏;金陵;无锡,,swhgz_4ce3b5c5c31c,1,些建置较早的县，前后修志甚至多达一、二十次。第三，江苏历代方志中有名著作层见叠出，见誉士林。除以上列举的《阳羡风土记》等之外，再如南宋范成大的《吴郡志》、周应合的《 金陵新志》、王仁辅的《无锡志》、卢镇的《重修琴川志》，明,high
custom_97d57509a559f3,风俗,general_custom,江苏,民国九年,swhgz_4ce3b5c5c31c,2,录存》，收入宫氏《春雨草堂集》，民国九年（1920年）韩国钧编印《海陵丛刻》曾收入其中，书中所记为乡土、形胜、风俗、水利、钱粮、秩官、人物。实在是一本方志，（见《江苏地方志》1988年第3期）显然应当增收。 可见，编写《江苏,high
custom_12e2dd42ff461b,风土,local_conditions,,,swhgz_4ce3b5c5c31c,2,瑰宝，世代相传，绵延不止，数量众多，内容宏富，并且珍藏着各个地区历代自然、社会、政治、 、经济、地理、人物、风土人情等各个方面的系列资料，是我们了解过去、研究历史的取之不尽、用之不竭的宝库。 旧地方志虽然是一种古老的文化形,high
custom_d7f5030cf55a57,风俗,general_custom,,,swhgz_4ce3b5c5c31c,5,卷33门：卷1图考；卷2～3建置沿革；卷4星野；卷5祥异；卷6疆域（形势附）；卷7～8山川（关津桥梁附）；卷9风俗；卷10城池；卷11兵制；卷12河防；卷13江防、海防；卷14水利；卷15封建；卷16户口（屯田附）；卷17～,high
custom_adfa66c7351614,风俗,general_custom,,,swhgz_4ce3b5c5c31c,6,目：舆地志：卷1～3图说，卷4建置沿革总表，卷5～8建置沿革表，卷9星野，卷10疆域，卷11～18山川，卷19风俗，卷20～21城池，卷22～24公署，卷25～28关津，卷29古都邑，卷30～36古迹，卷37～42坛庙，卷4,high
custom_4a12edf3fb7ea1,风俗,general_custom,,,swhgz_4ce3b5c5c31c,7,；5民政志：历代户口表、自治、徭役、善举、赈蠲、慈善机关、团练、乡镇表；6礼俗志：社会总论、时令、丧祭、冠昏（风俗附）；7度支志：田赋、盐法、商课、引目、厘金、杂税、捐输、漕运，岁计、军饷、洋款；8货殖志：物产、农业、工业、,high
custom_30f3ac671d85cb,民俗,folk_custom,金陵,,swhgz_4ce3b5c5c31c,15,。全志共15卷。卷1地理图，卷2金陵通纪；卷3金陵世年表；卷4疆域志；卷5山川志；卷6官守志；卷7田赋志；卷8民俗志；卷9学校志；卷10兵防志；卷11祠祀志；卷12古迹志；卷13人物志；卷14摭遗；卷15论辨。书首有索元岱《,high
custom_c6f7d5e5988a1d,风土,local_conditions,,,swhgz_4ce3b5c5c31c,15,：形势、攻守、江防、尺籍、器甲、战舰；卷40～41田赋志：田数、赋税、营租、沙租、圩租、蠲赋杂录；卷42～43风土志：风俗、民数、灾祥、第宅、土贡、物产、古陵、诸墓、义阡；卷44～46祠祀志：古郊庙、社稷、祠庙、宫观、寺院，,high
